Departement;Commune;Habitants;Agglo;Maire;Qui gere EP;Statut;Prestataire EP;Contact;Notes
"Val-de-Marne (94)";"Cachan";30526;"EPT Grand-Orly Seine Bièvre";"Hélène DE COMARMOND";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Savigny-le-Temple";30510;"CA Grand Paris Sud";"Marie-Line PICHERY";"";"inprogress";"";"01 69 91 58 58";"GRAND PARIS SUD"
"Hauts-de-Seine (92)";"Malakoff";30292;"EPT Vallée Sud Grand Paris";"Sonia FIGUERES";"";"callback";"";"";"vend 8h30"
"Val-d'Oise (95)";"Villiers-le-Bel";30053;"CA Roissy Pays de France";"Djida TECHTACH";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Villemomble";29973;"EPT Grand Paris Grand Est";"Patrice CALMÉJANE";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"La Garenne-Colombes";29932;"EPT Paris Ouest La Défense";"Philippe JUVIN";"";"callback";"";"";"13h30"
"Hauts-de-Seine (92)";"Bois-Colombes";29913;"EPT Boucle Nord de Seine";"Pierre CROSNIER LECONTE";"";"inprogress";"";"";"13h30"
"Essonne (91)";"Ris-Orangis";29825;"CA Grand Paris Sud";"Sonia BENAMEUR";"";"inprogress";"";"";""
"Essonne (91)";"Draveil";29824;"CA Val d'Yerres Val de Seine";"Anne-Marie JOURDANNEAU-FORT";"";"done";"SATELEC";"";"CM "
"Hauts-de-Seine (92)";"Saint-Cloud";29727;"EPT Grand Paris Seine Ouest";"Éric BERDOATI";"";"inprogress";"envoyé un mail";"";"espacepublic@saintcloud.fr"
"Yvelines (78)";"Chatou";29649;"CA Saint-Germain Boucles de Seine";"Eric DUMOULIN";"";"callback";"";"01 34 80 46 00";"Demain "
"Seine-Saint-Denis (93)";"Clichy-sous-Bois";29551;"EPT Grand Paris Grand Est";"Olivier KLEIN";"";"inprogress";"";"01 41 70 36 00";""
"Val-d'Oise (95)";"Ermont";29489;"CA Val Parisis";"Xavier HAQUIN";"";"todo";"";"0 801 23 05 15";"CAVP"
"Yvelines (78)";"Guyancourt";29406;"CA de Saint-Quentin-en-Yvelines";"François MORTON";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Fresnes";29298;"EPT Grand-Orly Seine Bièvre";"Christophe CARLIER";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Le Plessis-Robinson";29228;"EPT Vallée Sud Grand Paris";"Philippe PEMEZEC";"commune";"done";"bouygues / perideral";"cm + prestaire";"13h"
"Val-de-Marne (94)";"Charenton-le-Pont";28756;"EPT Paris Est Marne et Bois";"Hervé GICQUEL";"commune";"done";"EQUANS; ENEDIS";"";"CM "
"Essonne (91)";"Yerres";28349;"CA Val d'Yerres Val de Seine";"Nicolas DUPONT-AIGNANT";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Montfermeil";28257;"EPT Grand Paris Grand Est";"Xavier LEMOINE";"";"callback";"";"";""
"Hauts-de-Seine (92)";"Vanves";28014;"EPT Grand Paris Seine Ouest";"Bernard GAUDUCHEAU";"agglo";"done";"GPSEO";"0800 18 21 ";"RAPPELER COMME MEME"
"Val-de-Marne (94)";"Limeil-Brévannes";27806;"EPT Grand Paris Sud Est Avenir";"Françoise LECOUFLE";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Gonesse";27707;"CA Roissy Pays de France";"Cédric SABOURET";"";"todo";"";"";""
"Val-d'Oise (95)";"Taverny";27593;"CA Val Parisis";"Florence PORTELLI";"";"todo";"";"";""
"Val-de-Marne (94)";"Sucy-en-Brie";27593;"EPT Grand Paris Sud Est Avenir";"David PERRE";"commune";"done";"SATELEC";"";"CM : 2034"
"Val-d'Oise (95)";"Cormeilles-en-Parisis";27292;"CA Val Parisis";"Yannick BOËDEC";"";"todo";"";"";""
"Essonne (91)";"Grigny";27257;"CA Grand Paris Sud";"Philippe RIO";"";"done";"BOUYGUES";"01 70 58 93 22 ; 01 69 71 11 50 ";"CM ; GRAND PARIS SUD"
"Val-d'Oise (95)";"Sannois";26924;"CA Val Parisis";"Nicolas PONCHEL";"";"todo";"";"";""
"Seine-et-Marne (77)";"Villeparisis";26822;"CA Roissy Pays de France";"Frederic BOUCHE";"";"done";"Eiffage";"";"CM"
"Yvelines (78)";"Rambouillet";26816;"CA Rambouillet Territoires";"Véronique MATILLON";"";"done";"Satelec";"";"CM"
"Essonne (91)";"Brétigny-sur-Orge";26658;"CA Cur d'Essonne";"Nicolas MÉARY";"";"callback";"";"01 69 72 26 02 ";"Coeur de l'Essonne"
"Essonne (91)";"Étampes";26601;"CA Étampois Sud-Essonne";"Gilles BAYART";"";"inprogress";"";"01 88 07 01 39";"mr Bene"
"Seine-et-Marne (77)";"Bussy-Saint-Georges";26571;"CA Marne et Gondoire";"Yann DUBOSC";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Eaubonne";26211;"CA Val Parisis";"Marie-José BEAULANDE";"";"todo";"";"";""
"Yvelines (78)";"Élancourt";26082;"CA de Saint-Quentin-en-Yvelines";"Jean-Michel FOURGOUS";"";"callback";"";"0101 39 44 80 80";"st en yvelines"
"Essonne (91)";"Brunoy";25792;"CA Val d'Yerres Val de Seine";"Bruno GALLIER";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Champs-sur-Marne";25695;"CA Paris - Vallée de la Marne";"Michel COLAS";"";"done";"Eiffage";"";"CM"
"Val-d'Oise (95)";"Saint-Ouen-l'Aumône";25578;"CA de Cergy-Pontoise";"Laurent LINQUETTE";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Hauts-de-Seine (92)";"Villeneuve-la-Garenne";25371;"EPT Boucle Nord de Seine";"Pascal PELAIN";"";"callback";"";"";"vend 8h30"
"Essonne (91)";"Les Ulis";25253;"CA Communauté Paris-Saclay";"Clovis CASSAN";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Les Pavillons-sous-Bois";24872;"EPT Grand Paris Grand Est";"Philippe DALLIER";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Fontenay-aux-Roses";24772;"EPT Vallée Sud Grand Paris";"Pauline LE FUR";"";"callback";"";"vend 8h30";"Privé : vallée sud grand paris "
"Val-de-Marne (94)";"Orly";24488;"EPT Grand-Orly Seine Bièvre";"Imène SOUID";"";"inprogress";"";"";""
"Essonne (91)";"Montgeron";23800;"CA Val d'Yerres Val de Seine";"Sylvie CARILLON";"";"done";"Satelec";"";"CM ; SIPPEREC "
"Val-de-Marne (94)";"L'Haÿ-les-Roses";23678;"EPT Grand-Orly Seine Bièvre";"Clément DECROUY";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Roissy-en-Brie";23521;"CA Paris - Vallée de la Marne";"François BOUCHART";"";"done";"BIR";"01 64 43 15 00";"CM"
"Seine-Saint-Denis (93)";"Les Lilas";23262;"EPT Est Ensemble";"Lionel BENHAROUS";"";"done";"spie";"";""
"Val-d'Oise (95)";"Deuil-la-Barre";23099;"CA Plaine Vallée";"Muriel SCOLAN";"";"todo";"";"";""
"Yvelines (78)";"Maisons-Laffitte";23080;"CA Saint-Germain Boucles de Seine";"Arthur DEHAENE";"";"callback";"";"01 34 93 12 47";"Demain matin : 8h30"
"Seine-et-Marne (77)";"Dammarie-les-Lys";22845;"CA Melun Val de Seine";"Véronique VEAU";"commune";"done";"SOBECA ";"01 64 37 88 44";"bali pour la gestion de l'EP"
"Yvelines (78)";"Vélizy-Villacoublay";22713;"CA Versailles Grand Parc";"Pascal THÉVENOT";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Sèvres";22618;"EPT Grand Paris Seine Ouest";"Grégoire DE LA RONCIÈRE";"";"inprogress";"";"voirie@ville-sevres.fr";"13h30"
"Val-d'Oise (95)";"Montigny-lès-Cormeilles";22457;"CA Val Parisis";"Miloud GOUAL";"";"todo";"";"";""
"Seine-et-Marne (77)";"Torcy";22444;"CA Paris - Vallée de la Marne";"Guillaume LE LAY-FELZINE";"";"done";"Eiffage";"";"CM"
"Essonne (91)";"Gif-sur-Yvette";22352;"CA Communauté Paris-Saclay";"Yann CAUCHETIER";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Montereau-Fault-Yonne";22259;"CC Pays de Montereau";"James CHÉRON";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Combs-la-Ville";22240;"CA Grand Paris Sud";"Guy GEOFFROY";"agglo";"done";"";"";"Grand Paris Sud"
"Seine-Saint-Denis (93)";"Neuilly-Plaisance";21914;"EPT Grand Paris Grand Est";"Christian DEMUYNCK";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Arcueil";21868;"EPT Grand-Orly Seine Bièvre";"Sophie PASCAL-LERICQ";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Montmorency";21763;"CA Plaine Vallée";"Maxime THORY";"";"todo";"";"";""
"Hauts-de-Seine (92)";"Bourg-la-Reine";21576;"EPT Vallée Sud Grand Paris";"Jean-Noël CHEVREAU";"";"callback";"";"";"vend 8h30"
"Essonne (91)";"Saint-Michel-sur-Orge";21437;"CA Cur d'Essonne";"Sophie RIGAULT";"";"inprogress";"";"";""
"Yvelines (78)";"Mantes-la-Ville";21376;"CU Grand Paris Seine et Oise";"Sami DAMERGY";"";"callback";"";"01 30 98 55 49";""
"Yvelines (78)";"Achères";21368;"CU Grand Paris Seine et Oise";"François DAZELLE";"";"callback";"";"01 39 79 64 00";""
"Val-d'Oise (95)";"Saint-Gratien";21336;"CA Plaine Vallée";"Julien BACHARD";"";"todo";"";"";""
"Val-de-Marne (94)";"Saint-Mandé";21223;"EPT Paris Est Marne et Bois";"Julien WEIL";"";"callback";"";"";""
"Seine-et-Marne (77)";"Lagny-sur-Marne";21191;"CC du Provinois";"Jean-Paul MICHEL";"";"done";"Dalkia electrotechnics";"";"CM"
"Val-de-Marne (94)";"Le Plessis-Trévise";21096;"EPT Grand Paris Sud Est Avenir";"Alexis MARECHAL";"";"inprogress";"";"";""
"Yvelines (78)";"Saint-Cyr-l'École";20971;"CA Versailles Grand Parc";"Sonia BRAU";"";"done";"EIFFAGE ";"";"CM + Bailleur"
"Hauts-de-Seine (92)";"Chaville";20904;"EPT Grand Paris Seine Ouest";"Thierry BESANÇON";"";"done";"";"GPSEO";"13h30"
"Val-de-Marne (94)";"Villeneuve-le-Roi";20871;"EPT Grand-Orly Seine Bièvre";"Didier GONZALES";"";"inprogress";"";"";""
"Essonne (91)";"Morsang-sur-Orge";20785;"CA Grand Paris Sud";"Marianne DURANTON";"";"callback";"";"01 69 25 39 00";"CM"
"Val-de-Marne (94)";"Le Kremlin-Bicêtre";20784;"EPT Grand-Orly Seine Bièvre";"Lionel ZINCIROGLU";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Ozoir-la-Ferrière";20692;"CC les Portes Briardes Entre Villes et Forêts";"Laëtitia DEVRIENDT";"commune";"done";"BOUYGUES ENERGIES & SERVICES, STPEE";"";"CM "
"Seine-et-Marne (77)";"Mitry-Mory";20627;"CC Pays de Montereau";"Charlotte BLANDIOT-FARIDE";"";"inprogress";"";"01 64 67 61 60";"regie communale electricité (rceem)"
"Essonne (91)";"Longjumeau";20620;"CA Cur d'Essonne";"Sandrine GELOT";"";"done";"Bouygues telecom ";"";"CM"
"Hauts-de-Seine (92)";"Sceaux";20488;"EPT Vallée Sud Grand Paris";"Philippe LAURENT";"";"callback";"";"";"vend 8h30"
"Yvelines (78)";"La Celle-Saint-Cloud";20476;"CA Versailles Grand Parc";"Richard LEJEUNE";"";"callback";"";"01 30 78 15 12";""
"Seine-et-Marne (77)";"Le Mée-sur-Seine";20207;"CA du Pays de Meaux";"Franck VERNIN";"";"done";"ALTI ELECT et EDF";"01 64 14 45 45";"CM = uniquement eclairage public"
"Essonne (91)";"Chilly-Mazarin";19981;"EPT Grand-Orly Seine Bièvre";"Rafika REZGUI";"";"callback";"";"01 69 10 37 00";""
"Val-de-Marne (94)";"Chevilly-Larue";19813;"EPT Grand-Orly Seine Bièvre";"Stéphanie DAUMIN";"commune";"done";"BIR";"";"CM"
"Seine-et-Marne (77)";"Brie-Comte-Robert";19213;"CA Grand Paris Sud";"Yves GRANNOLIO";"";"done";"BIR";"";"Contrat performance energetique"
"Val-de-Marne (94)";"Gentilly";18883;"EPT Grand-Orly Seine Bièvre";"Fatah AGGOUNE";"";"inprogress";"";"";""
"Yvelines (78)";"Maurepas";18611;"CA de Saint-Quentin-en-Yvelines";"Grégory GARESTIER";"";"callback";"";"01 39 44 80 80";"saint quentin yvelines"
"Val-d'Oise (95)";"Éragny-sur-Oise";18436;"CA de Cergy-Pontoise";"Thibault HUMBERT";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Essonne (91)";"Juvisy-sur-Orge";18424;"EPT Grand-Orly Seine Bièvre";"Lamia BENSARSA REDA";"";"callback";"";"01 69 12 50 00";""
"Val-de-Marne (94)";"Bonneuil-sur-Marne";18340;"EPT Grand Paris Sud Est Avenir";"Denis OZTORUN";"commune";"done";"CITEOS; SEGELEC";"";"CM "
"Yvelines (78)";"Carrières-sous-Poissy";18316;"CU Grand Paris Seine et Oise";"Eddie AÏT";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Chennevières-sur-Marne";18295;"EPT Grand Paris Sud Est Avenir";"Laurence GRANDJEAN";"commune";"done";"SATELEC";"";"CM"
"Seine-et-Marne (77)";"Moissy-Cramayel";18248;"CC Brie des Rivières et Châteaux";"Line MAGNE";"";"inprogress";"";"01 69 91 58 58";"GRAND PARIS SUD"
"Val-de-Marne (94)";"Bry-sur-Marne";18095;"EPT Paris Est Marne et Bois";"Charles ASLANGUL";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Soisy-sous-Montmorency";18008;"CA Plaine Vallée";"Nicolas NAUDET";"";"todo";"";"";""
"Val-d'Oise (95)";"Osny";17954;"CA de Cergy-Pontoise";"Laurent ARCHITE-HENNI";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Hauts-de-Seine (92)";"Garches";17898;"EPT Grand Paris Seine Ouest";"Jeanne BÉCHART";"";"inprogress";"";"servicestechniques@garches.fr";"13h"
"Val-d'Oise (95)";"Jouy-le-Moutier";17854;"CA de Cergy-Pontoise";"Hervé FLORCZAK";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Yvelines (78)";"Limay";17626;"CU Grand Paris Seine et Oise";"Djamel NEDJAR";"";"callback";"";"01 34 97 27 27";""
"Val-de-Marne (94)";"Boissy-Saint-Léger";17335;"EPT Grand Paris Sud Est Avenir";"Régis CHARBONNIER";"commune";"done";"SATELEC";"";"CM LONG MARCHÉ DURÉE 5-7 ANS"
"Yvelines (78)";"Les Clayes-sous-Bois";17237;"CA Versailles Grand Parc";"Philippe GUIGUEN";"";"done";"fournisseur : enedis ";"01 39 44 80 80";"saint quentin en yvelines"
"Yvelines (78)";"Viroflay";16960;"CA Versailles Grand Parc";"Olivier LEBRUN";"";"callback";"";"01 39 24 28 28";""
"Seine-Saint-Denis (93)";"Le Pré-Saint-Gervais";16733;"EPT Est Ensemble";"Laurent BARON";"";"done";"eiffage";"";""
"Yvelines (78)";"Marly-le-Roi";16531;"CA Saint-Germain Boucles de Seine";"Jérôme VERDIN";"";"todo";"";"";""
"Val-d'Oise (95)";"Saint-Leu-la-Forêt";16138;"CA Val Parisis";"Loïc VIDAL";"";"todo";"";"";""
"Val-d'Oise (95)";"Vauréal";16079;"CA de Cergy-Pontoise";"Raphael LANTERI";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Val-d'Oise (95)";"Domont";16065;"CA Plaine Vallée";"Frédéric BOURDIN";"";"todo";"";"";""
"Essonne (91)";"Orsay";16007;"CA Communauté Paris-Saclay";"Rémi DARMON";"";"callback";"";"01 60 92 80 00";""
"Seine-et-Marne (77)";"Fontainebleau";15945;"CA du Pays de Fontainebleau";"Julien GONDARD";"";"done";"Eiffage";"";"CM"
"Yvelines (78)";"Verneuil-sur-Seine";15914;"CU Grand Paris Seine et Oise";"Fabien AUFRECHTER";"";"inprogress";"";"";""
"Yvelines (78)";"Le Pecq";15832;"CA Saint-Germain Boucles de Seine";"Anne-Laure DE BROSSES";"";"done";"Citeos ";"";"CM + Bailleur "
"Essonne (91)";"Mennecy";15711;"CC du Val d'Essonne";"Jean-Philippe DUGOIN-CLEMENT";"";"callback";"";"01 69 90 80 30";""
"Yvelines (78)";"Le Vésinet";15646;"CA Saint-Germain Boucles de Seine";"Thibault GRIPOIX";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Noisiel";15461;"CA Paris - Vallée de la Marne";"Mathieu VISKOVIC";"";"inprogress";"";"";""
"Yvelines (78)";"Bois-d'Arcy";15435;"CA Versailles Grand Parc";"Philippe BENASSAYA";"";"callback";"";"01 30 45 83 83";"Demain à 9h"
"Seine-et-Marne (77)";"Coulommiers";15250;"CA Coulommiers Pays de Brie";"Franck RIESTER";"";"done";"";"";"c'est eu qui s'en charge : service agent des municipaux"
"Val-d'Oise (95)";"Montmagny";15105;"CA Plaine Vallée";"Belkacem CHIKH";"";"todo";"";"";""
"Val-d'Oise (95)";"Saint-Brice-sous-Forêt";15063;"CA Plaine Vallée";"Virgine PREHOUBERT";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Le Bourget";15052;"EPT Paris Terres d'Envol";"Mehdi NEZZAR";"";"done";"ERIMARCHER";"01 48 38 82 80";""
"Yvelines (78)";"Carrières-sur-Seine";15038;"CA Saint-Germain Boucles de Seine";"Arnaud DE BOURROUSSE";"";"callback";"";"01 39 57 15 53";"Rappele Ajd 16h30"
"Val-d'Oise (95)";"Arnouville";15023;"CA Roissy Pays de France";"Pascal DOLL";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Le Raincy";14778;"EPT Grand Paris Grand Est";"Nicolas RONDEPIERRE";"";"done";"KOMPASS";"";"cm"
"Seine-et-Marne (77)";"Lognes";14650;"CC du Pays de l'Ourcq";"Nicolas DELAUNAY";"";"done";"Eiffage ";"";"CM"
"Essonne (91)";"Verrières-le-Buisson";14597;"CA Communauté Paris-Saclay";"François Guy TRÉBULLE";"";"callback";"";"01 69 53 78 00";""
"Seine-et-Marne (77)";"Saint-Fargeau-Ponthierry";14516;"CA Melun Val de Seine";"Séverine FELIX-BORON";"commune";"done";"EIFFAGE ENERGIE";"";"Marché à performance énergétique avec renovation du parc et entretien /maintenance des installations"
"Yvelines (78)";"Montesson";14511;"CA Saint-Germain Boucles de Seine";"Antoine LEMAIRE";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Valenton";14453;"EPT Grand-Orly Seine Bièvre";"Metin YAVUZ";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Saint-Maurice";14411;"EPT Paris Est Marne et Bois";"Igor SEMO";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Persan";14359;"CC Carnelle Pays-de-France";"Valentin RATIEUVILLE";"";"todo";"";"";""
"Seine-et-Marne (77)";"Montévrain";13934;"CA Marne et Gondoire";"Olivier PAJOT";"";"done";"Eiffage energie";"";""
"Essonne (91)";"Fleury-Mérogis";13816;"CA Cur d'Essonne";"Yahaya SOUKOUNA";"";"refused";"";"01 69 46 72 00";""
"Seine-et-Marne (77)";"Lieusaint";13808;"CA Coulommiers Pays de Brie";"Michel BISSON";"agglo";"done";"";"";"Grand Paris Sud"
"Essonne (91)";"Morangis";13773;"EPT Grand-Orly Seine Bièvre";"Brigitte VERMILLET";"";"callback";"";"";""
"Seine-et-Marne (77)";"Avon";13526;"CA du Pays de Fontainebleau";"Marie-Charlotte NOUHAUD";"";"done";"Eiffage";"";"CM"
"Seine-et-Marne (77)";"Vaires-sur-Marne";13518;"CA Paris - Vallée de la Marne";"Daniel WATHLÉ";"";"done";"Eiffage";"";"CM"
"Yvelines (78)";"Fontenay-le-Fleury";13455;"CA Versailles Grand Parc";"Richard RIVAUD";"";"inprogress";"";"";""
"Yvelines (78)";"Andrésy";13230;"CU Grand Paris Seine et Oise";"Jean-Pierre DOS SANTOS";"";"refused";"confidentiel";"";"CM + marché public"
"Seine-et-Marne (77)";"Nemours";13189;"CC Pays de Nemours";"Valérie LACROUTE";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Moret-Loing-et-Orvanne";12581;"CC Moret Seine et Loing";"Dikran ZAKEOSSIAN";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Louvres";12560;"CA Roissy Pays de France";"Eddy THOREAU";"";"todo";"";"";""
"Val-d'Oise (95)";"L'Isle-Adam";12492;"CC Sausseron Impressionnistes";"Sébastien PONIATOWSKI";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Villetaneuse";12432;"EPT Plaine Commune";"Dieunor EXCELLENT";"";"done";"SDAL";"01 87 01 87 87";"privé : plaine commune"
"Yvelines (78)";"Triel-sur-Seine";12388;"CU Grand Paris Seine et Oise";"Cedric AOUN";"";"callback";"";"01 39 70 22 00";"Demain "
"Yvelines (78)";"Aubergenville";12317;"CU Grand Paris Seine et Oise";"Virgine MEUNIER";"";"callback";"";"";""
"Seine-et-Marne (77)";"Claye-Souilly";12282;"CA Roissy Pays de France";"Jean-Luc SERVIERES";"commune";"done";"Eiffage Energie";"";"CM avec SDESM"
"Val-de-Marne (94)";"La Queue-en-Brie";12074;"EPT Grand Paris Sud Est Avenir";"Karine BASTIER";"";"inprogress";"";"ctm@laqueueenbrie.fr";""
"Seine-et-Marne (77)";"Provins";11958;"CC du Provinois";"Olivier LAVENKA";"";"inprogress";"";"";""
"Essonne (91)";"Épinay-sous-Sénart";11783;"CA Val d'Yerres Val de Seine";"Damien ALLOUCH";"";"done";"citéos ";"";"CM"
"Seine-Saint-Denis (93)";"Dugny";11723;"EPT Paris Terres d'Envol";"Quentin GESELL";"";"refused";"";"";"privé "
"Essonne (91)";"Saint-Pierre-du-Perray";11680;"CA Grand Paris Sud";"Dominique VEROTS";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Villecresnes";11650;"EPT Grand Paris Sud Est Avenir";"Stéphane RABANY";"";"inprogress";"";"";""
"Essonne (91)";"Arpajon";11503;"CA Cur d'Essonne";"Isabelle PERDEREAU";"";"callback";"";"";"Centre agglomeration"
"Val-d'Oise (95)";"Enghien-les-Bains";11432;"CA Plaine Vallée";"Philippe SUEUR";"";"todo";"";"";""
"Essonne (91)";"Saint-Germain-lès-Arpajon";11305;"CA Cur d'Essonne";"Christian KERVAZO";"";"callback";"";"01 69 72 18 00";"Coeur agglomeration Essonne"
"Seine-et-Marne (77)";"Dammartin-en-Goële";11272;"CA Roissy Pays de France";"Stéphane JABUT";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Vaux-le-Pénil";11174;"CC Brie des Rivières et Châteaux";"Nathalie BEAULNES-SERENI";"";"done";"Societe SOBECA";"";"CM"
"Yvelines (78)";"Villepreux";11150;"CA Versailles Grand Parc";"Jean-Baptiste HAMONIC";"";"callback";"";"01 39 44 80 80";"Gerer par saint quentin en yvelines"
"Seine-et-Marne (77)";"Cesson";11140;"CA Grand Paris Sud";"Olivier CHAPLET";"agglo";"done";"";"0 800 328 800";"Grand Paris Sud"
"Essonne (91)";"Dourdan";11068;"CC du Dourdannais en Hurepoix";"Paolo DE CARVALHO";"";"callback";"";"";""
"Essonne (91)";"Bondoufle";10833;"CA Cur d'Essonne";"Vivien LEROY";"";"callback";"";"0 800 97 91 91";"Grand paris sud "
"Yvelines (78)";"Chanteloup-les-Vignes";10735;"CU Grand Paris Seine et Oise";"Catherine ARENOU";"";"callback";"";"01 34 01 10 50";"Demain = 9h "
"Yvelines (78)";"Voisins-le-Bretonneux";10721;"CA Versailles Grand Parc";"Alexandra ROSETTI";"";"callback";"";"01 30 48 58 68";"Demain matin = 8h30"
"Hauts-de-Seine (92)";"Ville-d'Avray";10694;"EPT Grand Paris Seine Ouest";"Aline DE MARCILLAC";"";"inprogress";"";"";"13h30"
"Essonne (91)";"Épinay-sur-Orge";10626;"CA Cur d'Essonne";"Mélanie DORLENCOURT";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Ormesson-sur-Marne";10589;"EPT Grand Paris Sud Est Avenir";"Marie-Christine SÉGUI";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Fosses";10570;"CA Roissy Pays de France";"Jacqueline HAESINGER";"";"todo";"";"";""
"Seine-et-Marne (77)";"Thorigny-sur-Marne";10405;"CA Marne et Gondoire";"Bouchra FENZAR-RIZKI";"";"done";"DERICHEBOURG";"";"CM"
"Yvelines (78)";"Croissy-sur-Seine";10399;"CA Saint-Germain Boucles de Seine";"Jean-Roger DAVIN";"";"callback";"";"";""
"Essonne (91)";"Villebon-sur-Yvette";10322;"CA Communauté Paris-Saclay";"Victor DA SILVA";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Beaumont-sur-Oise";10232;"CC Carnelle Pays-de-France";"Jean-Michel APARICIO";"";"todo";"";"";""
"Essonne (91)";"Igny";10213;"CA Communauté Paris-Saclay";"Francisque VIGOUROUX";"";"callback";"";"";"Communauté agglomeration Paris Chatelet"
"Val-d'Oise (95)";"Pierrelaye";10130;"CA Val Parisis";"Eric BOSC";"";"todo";"";"";""
"Yvelines (78)";"Vernouillet";10025;"CU Grand Paris Seine et Oise";"Pascal COLLADO";"";"inprogress";"";"";"CM + Bailleur "
"Val-d'Oise (95)";"Méry-sur-Oise";9983;"CA de Cergy-Pontoise";"Pierre-Édouard EON";"";"todo";"";"";"PAS DANS CETTE AGLO"
"Val-d'Oise (95)";"Ézanville";9858;"CA Plaine Vallée";"Eric BATTAGLIA";"";"todo";"";"";""
"Val-d'Oise (95)";"Beauchamp";9849;"CA Val Parisis";"Françoise NORDMANN";"";"todo";"";"";""
"Seine-et-Marne (77)";"La Ferté-sous-Jouarre";9714;"CA Coulommiers Pays de Brie";"Ugo PEZZETTA";"";"done";"CITEOS";"";"CM marché public de 4 ans "
"Seine-et-Marne (77)";"Serris";9706;"CA Val d'Europe Agglomération";"Philippe DESCROUET";"";"done";"Eiffage energie";"";"CM"
"Essonne (91)";"Crosne";9606;"CA Val d'Yerres Val de Seine";"Michael DAMIATI";"";"inprogress";"";"";""
"Essonne (91)";"Bures-sur-Yvette";9481;"CA Communauté Paris-Saclay";"Jean-François VIGIER";"";"inprogress";"";"";""
"Essonne (91)";"Quincy-sous-Sénart";9477;"CA Val d'Yerres Val de Seine";"Christine GARNIER";"";"inprogress";"";"";""
"Yvelines (78)";"Magny-les-Hameaux";9385;"CA de Saint-Quentin-en-Yvelines";"Pierre-Louis BRIÈRE";"";"done";"STELENS";"";""
"Seine-et-Marne (77)";"Magny-le-Hongre";9064;"CC Pays de Nemours";"Véronique FLAMENT-BJARSTAL";"";"done";"Teridéal ";"";"CM"
"Yvelines (78)";"Meulan-en-Yvelines";9041;"CU Grand Paris Seine et Oise";"Cécile ZAMMIT-POPESCU";"";"inprogress";"";"";"mairie@ville-meulan.fr ; servicestechniques@ville-meulan.fr"
"Yvelines (78)";"Bougival";9031;"CA Versailles Grand Parc";"Nathalie JAQUEMET";"";"done";"INEO";"";""
"Essonne (91)";"Breuillet";9023;"CA Cur d'Essonne";"Bernard SPROTTI";"agglo";"done";"ENEDIS";"Bailleur";""
"Seine-et-Marne (77)";"Nangis";8898;"CC Brie Nangissienne";"Clotilde LAGOUTTE";"";"done";"Eiffage ";"01 64 60 52 04";"CM"
"Val-d'Oise (95)";"Bessancourt";8869;"CA Val Parisis";"Laurianne DUGLÉ DANGUILHEN";"";"todo";"";"";""
"Seine-et-Marne (77)";"Vert-Saint-Denis";8822;"CA Grand Paris Sud";"Didier EUDE";"";"callback";"";"services.urbains@grandparissud.fr";"Grand Paris Sud"
